entry_date,exit_date,ticker,entry_price,exit_price,pnl_pct,exit_reason,hold_days,year
2022-11-30,2022-12-19,GXC,71.1102294921875,71.81204223632812,0.9869364072544906,stop_loss,19,2022
2022-11-30,2022-12-19,EWH,17.79156494140625,18.715137481689453,5.191069719413921,stop_loss,19,2022
2022-11-30,2022-12-20,FXI,25.89344024658203,25.690317153930664,-0.7844577264242814,stop_loss,20,2022
2022-11-30,2022-12-20,MCHI,43.322898864746094,43.3721923828125,0.11378167056710353,stop_loss,20,2022
2023-01-31,2023-02-03,MARA,7.210000038146973,7.070000171661377,-1.941745710747278,stop_loss,3,2023
2023-01-31,2023-02-03,RIOT,6.269999980926514,6.840000152587891,9.090911856384864,stop_loss,3,2023
2023-01-31,2023-02-03,DAPP,4.3034281730651855,4.699034690856934,9.19282260286851,stop_loss,3,2023
2023-01-31,2023-02-03,BITQ,5.3662028312683105,5.923349857330322,10.382518953916042,stop_loss,3,2023
2023-01-31,2023-02-03,CLSK,3.1700000762939453,3.509999990463257,10.725549084743434,stop_loss,3,2023
2023-01-31,2023-02-03,SATO,4.962636470794678,5.449741363525391,9.815445793729705,stop_loss,3,2023
2023-01-31,2023-02-03,ETHE,6.5480427742004395,6.761566162109375,3.2608734437445497,stop_loss,3,2023
2023-01-31,2023-02-03,GBTC,10.97560977935791,11.129178047180176,1.3991775483042979,stop_loss,3,2023
2023-01-31,2023-02-06,MSTR,25.17300033569336,28.204999923706055,12.044649217731717,stop_loss,6,2023
2023-01-31,2023-02-06,BITO,4.200043678283691,4.176549434661865,-0.5593809355674773,stop_loss,6,2023
2023-02-28,2023-03-02,MSTR,26.226999282836914,25.288999557495117,-3.5764660502188295,stop_loss,2,2023
2023-02-28,2023-03-06,GREK,29.876310348510742,28.70180892944336,-3.9312130760682407,stop_loss,6,2023
2023-02-28,2023-03-09,PAVE,28.749780654907227,28.503551483154297,-0.8564558272930789,stop_loss,9,2023
2023-02-28,2023-03-09,EWO,18.305063247680664,17.955013275146484,-1.9123122810216553,stop_loss,9,2023
2023-02-28,2023-03-09,CIBR,40.867881774902344,40.47139358520508,-0.9701706388432263,stop_loss,9,2023
2023-02-28,2023-03-10,UAE,13.164043426513672,12.975343704223633,-1.433448038540952,stop_loss,10,2023
2023-02-28,2023-03-10,EWP,25.279232025146484,24.85499382019043,-1.6782084381916529,stop_loss,10,2023
2023-02-28,2023-03-13,KRBN,34.90616989135742,34.604881286621094,-0.86313853875708,stop_loss,13,2023
2023-02-28,2023-03-15,DBA,18.549072265625,18.108083724975586,-2.3774156159100834,stop_loss,15,2023
2023-02-28,2023-03-31,UUP,25.560684204101562,25.07501220703125,-1.900074321924372,rebalance,31,2023
2023-03-31,2023-04-03,RIOT,9.989999771118164,9.670000076293945,-3.203200221779401,stop_loss,3,2023
2023-03-31,2023-04-03,MARA,8.720000267028809,8.430000305175781,-3.3256875340881176,stop_loss,3,2023
2023-03-31,2023-04-05,SATO,5.379251003265381,5.123911380767822,-4.7467504740447914,stop_loss,5,2023
2023-03-31,2023-04-12,GBTC,14.778680801391602,15.42005443572998,4.339857142580583,stop_loss,12,2023
2023-03-31,2023-04-17,BTF,6.173768520355225,6.350318908691406,2.8596859074661696,stop_loss,17,2023
2023-03-31,2023-04-17,BITO,5.117237091064453,5.265758514404297,2.9023752602588493,stop_loss,17,2023
